Sample_Index,EXG_Channel_0,EXG_Channel_1,EXG_Channel_2,EXG_Channel_3,Accel_Channel_0,Accel_Channel_1,Accel_Channel_2,Timestamp,Timestamp_(Formatted)
70.0,-378.3581987172365,-377.93932992219925,-314.3311114758253,-188.9098265618086,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.121143, 2024-01-27 16:05:19.121
72.0,-386.19702902436256,-369.38243882358074,-301.16666363179684,-190.52546334266663,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.1377065, 2024-01-27 16:05:19.137
74.0,-377.1015923321247,-369.9808228164911,-303.6200380027294,-194.95350489020348,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.1668692, 2024-01-27 16:05:19.166
76.0,-355.6794453859329,-362.022315710783,-305.1159979850054,-190.04675614833832,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.1813526, 2024-01-27 16:05:19.181
78.0,-360.04764853417873,-370.6988836079836,-309.8432315289974,-187.89257377386093,0.0960000045597553,-0.0480000022798776,0.9920000471174716,1706389519.197654, 2024-01-27 16:05:19.197
80.0,-376.8024003356695,-373.0325811803341,-314.1515962779522,-192.14110012352467,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.2268677, 2024-01-27 16:05:19.226
82.0,-382.4870482683182,-364.6552052795887,-301.7650476247072,-194.8338280916214,0.1120000053197145,-0.0480000022798776,1.008000047877431,1706389519.2414317, 2024-01-27 16:05:19.241
84.0,-379.79432030022144,-368.7242164313793,-306.4324427694082,-200.51847602427006,0.1120000053197145,-0.0480000022798776,1.008000047877431,1706389519.2577229, 2024-01-27 16:05:19.257
86.0,-357.8336277604103,-362.56086130440235,-302.3634316176176,-186.51629059016705,0.1120000053197145,-0.0480000022798776,1.008000047877431,1706389519.287314, 2024-01-27 16:05:19.287
88.0,-361.3640933185816,-373.8104803711176,-311.2195147126913,-185.08016900718212,0.1120000053197145,-0.0480000022798776,1.008000047877431,1706389519.3026369, 2024-01-27 16:05:19.302
90.0,-373.15225797891617,-372.19484359025955,-311.6982219070196,-193.15835291147232,0.1120000053197145,-0.0480000022798776,1.008000047877431,1706389519.3177073, 2024-01-27 16:05:19.317
92.0,-381.7689874768257,-362.9198917001486,-297.15749087929726,-187.29418978095055,0.1120000053197145,-0.0480000022798776,1.008000047877431,1706389519.3468504, 2024-01-27 16:05:19.346
94.0,-379.7344819009304,-370.8783988058567,-306.9709883630276,-201.5357288122177,0.1120000053197145,-0.0480000022798776,1.008000047877431,1706389519.3612092, 2024-01-27 16:05:19.361
96.0,-354.78186939656734,-362.56086130440235,-304.3380987942219,-188.43111936748028,0.1120000053197145,-0.0480000022798776,1.008000047877431,1706389519.3776028, 2024-01-27 16:05:19.377
98.0,-360.6460325270891,-373.09241957962513,-316.24594025313854,-187.0548361837864,0.1120000053197145,-0.0480000022798776,1.008000047877431,1706389519.40713, 2024-01-27 16:05:19.407
0.0,-385.41912983357906,-368.60453963279724,-304.8168059885502,-203.74974958598614,0.1120000053197145,-0.0480000022798776,1.008000047877431,1706389519.4211974, 2024-01-27 16:05:19.421
2.0,-377.1614307314158,-373.87031877040863,-308.8858171403408,-200.45863762497902,0.0960000045597553,-0.0480000022798776,1.008000047877431,1706389519.4518428, 2024-01-27 16:05:19.451
